Image_ID,Model,Attack,Defense,Was_Successful_Attack,Defended_Pred_Idx,Cured
n01532829,MobileNetV2,FGSM,JPEG (q=75),True,126,False
n01532829,MobileNetV2,FGSM,Feature Squeeze (4-bit + median-3),True,86,False
n01532829,MobileNetV2,PGD,JPEG (q=75),True,676,False
n01532829,MobileNetV2,PGD,Feature Squeeze (4-bit + median-3),True,12,True
n01532829,MobileNetV2,C&W,JPEG (q=75),True,12,True
n01532829,MobileNetV2,C&W,Feature Squeeze (4-bit + median-3),True,12,True
n01532829,MobileNetV2,DeepFool,JPEG (q=75),True,12,True
n01532829,MobileNetV2,DeepFool,Feature Squeeze (4-bit + median-3),True,12,True
n01532829,MobileNetV2,TargetedI-FGSM,JPEG (q=75),True,301,False
n01532829,MobileNetV2,TargetedI-FGSM,Feature Squeeze (4-bit + median-3),True,12,True
n01532829,MobileNetV2,SquareAttack,JPEG (q=75),True,73,False
n01532829,MobileNetV2,SquareAttack,Feature Squeeze (4-bit + median-3),True,12,True
n01532829,MobileNetV2,NES,JPEG (q=75),False,12,True
n01532829,MobileNetV2,NES,Feature Squeeze (4-bit + median-3),False,12,True
n01532829,MobileNetV2,BoundaryAttack,JPEG (q=75),True,372,False
n01532829,MobileNetV2,BoundaryAttack,Feature Squeeze (4-bit + median-3),True,78,False
n01558993,MobileNetV2,FGSM,JPEG (q=75),True,80,False
n01558993,MobileNetV2,FGSM,Feature Squeeze (4-bit + median-3),True,91,False
n01558993,MobileNetV2,PGD,JPEG (q=75),True,80,False
n01558993,MobileNetV2,PGD,Feature Squeeze (4-bit + median-3),True,91,False
n01558993,MobileNetV2,C&W,JPEG (q=75),True,91,False
n01558993,MobileNetV2,C&W,Feature Squeeze (4-bit + median-3),True,91,False
n01558993,MobileNetV2,DeepFool,JPEG (q=75),True,15,True
n01558993,MobileNetV2,DeepFool,Feature Squeeze (4-bit + median-3),True,91,False
n01558993,MobileNetV2,TargetedI-FGSM,JPEG (q=75),True,80,False
n01558993,MobileNetV2,TargetedI-FGSM,Feature Squeeze (4-bit + median-3),True,317,False
n01558993,MobileNetV2,SquareAttack,JPEG (q=75),True,15,True
n01558993,MobileNetV2,SquareAttack,Feature Squeeze (4-bit + median-3),True,15,True
n01558993,MobileNetV2,NES,JPEG (q=75),False,15,True
n01558993,MobileNetV2,NES,Feature Squeeze (4-bit + median-3),False,91,False
n01558993,MobileNetV2,BoundaryAttack,JPEG (q=75),True,86,False
